WineName,Price,CountryState,Region,ProductType,VarietalType,Description
Valserrano Rioja Crianza 2014,$16.99,Spain,Rioja,Red Wine,Tempranillo,Wine Advocate-Rioja Spain - I liked the freshness of the straightforward 2014 Valserrano Crianza a blend of Tempranillo with 10% Graciano. It had a mixture of red and black fruit and more freshness than some of its siblings. Polished tasty and elegant. A textbook Crianza... (Intense Berry Spice  Full-bodied )
Crimson Thread Red Blend,$6.79,California,,Red Wine,Red Blend,California- Crimson Thread will surprise and delight. You will find luscious aromas of dark cherry and blackberry followed by tempting hints of brown sugar spice and supple notes of vanilla. With its round velvety finish this Red Blend pairs with a simple roasted chicken. (Intense Vanilla Brown Sugar  Medium-bodied )
Almodi Terra Alta Petit Red,$12.99,Spain,Catalunya,Red Wine,Red Blend,Terra Alta Tarragona Spain- Shining rose in color with a complex nose and palate showing raspberry blackberry and red fruits framed with hints of licorice and black pepper. Full bodied with round tannins and long and persistent finish. (Intense Blackberry Spice  Full-bodied )
Coppola Directors Cabernet,$14.99,California,,Red Wine,Cabernet Sauvignon,A fragrant and complex wine with luscious body and plenty of dark juicy flavors of plums cassis and crushed wild berries. ()
Chateau Garraud Lalande de Pomerol,$20.98,France,Bordeaux,Red Wine,Bordeaux Blend,Lalande de Pomerol Bordeaux France- This complex wine made by Leon Nony has blackberry and plum flavors with a hint of mint on the nose. Mostly Merlot this full-bodied wine comes from the right bank of the Gironde River. Try it with lamb beef or duck. (Elegant Blackberry Plum  Full-bodied )
California Square Cabernet,$14.99,California,Central Coast,Red Wine,Cabernet Sauvignon,California- Handcrafted by Ginny Lambrix this velvety Cabernet shines with delicious flavors of sweet licorice and ripe plums. Offering a silky smooth finish laced with vanilla and cherry. Drinks beautifully on its own or paired with grilled meats. (Intense Cherry Licorice  Medium-bodied )
Bevan Ontogeny Red Blend 2015,$139.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,Wine Advocate-Napa CA- ...gorgeous nose of spice box violets and mocha with a core of creme de cassis ripe plums and black cherries...Full-bodied ripe and expressive it is beautifully open for business right now with a soft approachable texture and a long spicy finish. (Elegant Black Currant Cassis  Medium-bodied )
Beaucanon Estate Cabernet Franc Napa,$29.98,California,Napa Valley,Red Wine,Cabernet Franc,Napa Valley California- This wine shows bright acidity vying with prominent tannins that quickly fades as juicy black cherry and red apple fruit come to the fore. Deeper layers of the wine reveal notes of cocoa and cinnamon spice. The nose is pronounced with fruit. (Concentrated Cherry Chocolate  Full-bodied )
Big Six Bourbon Barrel Zinfandel,$14.99,California,,Red Wine,Zinfandel,California - THE NEWEST WAY TO EXPERIENCE WINE! Bourbon barrel aged for three months which adds flavors of vanilla caramel and oak to the raspberry and spice flavors of Zinfandel. A great accompaniment to all types of barbeque and a great match with a cigar! (Concentrated Vanilla Dark Fruit  Full-bodied )
Crossfork Creek Merlot Yakima,$19.99,Washington,Yakima Valley,Red Wine,Merlot,Yakima Columbia Valley WA- A complex Merlot with beautiful black fruit notes and a dense layered texture. This is a fantastic value and also shows that washington merlot can compete with the excellent Merlot driven wines from St. Emilion and Pomerol in Bordeaux. (Concentrated Black Currant Wild Berry  Full-bodied )
Ferrari-Carano Siena,$16.97,California,Sonoma County,Red Wine,Cabernet Sauvignon,Sonoma County CA- Ferrari-Caranos Italian heritage is reflected in this Sangiovese-Malbec easy-sipping multi-dimensional blend. Supple and ripe with heady fruit aromas and flavors of cranberry strawberry and cherry complemented by cinnamon nutmeg and cocoa. ()
Brisandes Cabernet,$12.99,Chile,Colchagua Valley,Red Wine,Cabernet Sauvignon,Colchagua Chile- The famous Lafite Rothschild winemaking team has gone to the foot of the Andes mountains to produce this elegant Cabernet Sauvignon. Offering a lovely bouquet and flavors of ripe berry and black cherry fruit with a slightly spicy finish this wine is ready to drink. (Elegant Berry Cherry Spice  Medium-bodied )
Tesoro della Regina Chianti Classico Riserva,$17.99,Italy,Tuscany,Red Wine,Sangiovese,Chianti Classico Tuscany Italy- An estate-bottled classic that is lovely and harmonious. Medium-bodied with loads of spicy fruit good cherry flavors and a silky smooth finish. Pair this Chianti Classico with all grilled or roasted meats and hearty pastas. (Intense Spice Cherry  Medium-bodied )
Yellow Tail Big Bold Red,$8.97,Australia,,Red Wine,Red Blend,South Eastern Australia- A well-balanced medium-bodied red wine with decadent flavors of raspberries and strawberry jam. With a hint of spice this wine is bursting with ripe dark fruits and rich bold oak character. (Concentrated Raspberry Spice  Medium-bodied )
Quinta das Carvalhas Tinto Douro 2013,$14.49,Portugal,Douro,Red Wine,Red Blend,Wine Enthusiast -Douro Portugal - Reliant on perfumed Touriga Nacional this single estate wine is generous ripe and full of black fruits. Richly tannic and structured it has a serious side firm and with good potential. (Intense Plum Vanilla  Medium-bodied )
Renieri Invetro 2014,$16.99,Italy,Tuscany,Red Wine,Red Blend,James Suckling-Tuscany Italy - Plenty of beautiful fruit for a 2014 with soft and velvety tannins medium body and a fresh mushroom chocolate and berry aftertaste. A blend of Cabernet Sauvignon Merlot Sangiovese and Syrah. Delicious now. (Intense Cherry Plum  Medium-bodied )
Valserrano Rioja Reserva,$24.99,Spain,Rioja,Red Wine,Tempranillo,Rioja Spain- Smooth powerful and complex featuring ripe cherry and dark plum fruit accented by notes of chocolate spice and pepper. Black fruits mocha and cedar highlight the long elegant finish. Pair with BBQ & Smoked Meats.. (Intense Cherry Mocha Spice  Full-bodied )
Hess Cabernet Napa Allomi Vineyard 2015,$21.77,California,Napa Valley,Red Wine,Cabernet Sauvignon,Wine Advocate-Napa CA- The wine shows plenty of red and black fruits earthiness and a lushness that is unusual for a Pope Valley Cabernet. It avoids the rustic tannins that area can sometimes turn out. This is a major winner and a delicious fruit-forward medium to full-bodied Cabernet Sauvignon ()
Phebus Malbec MMC,$9.99,Argentina,Mendoza,Red Wine,Malbec,Mendoza Argentina- Fresh and powerful red blend with 70% Malbec 15% Cabernet and 15% Merlot. Fruit and spices explode first on the nose and then on the palate leading to a juicy finish. Great accompaniment to grilled meats pasta or Thai food. (Intense Fruity Spice  Medium-bodied )
